City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
20,Cayenne,GF,86.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
22,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
26,Lorengau,PG,80.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Hamilton,US,76.24,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
32,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
36,Hithadhoo,MV,83.41,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Rio Branco,BR,86.61,few clouds,-9.9747,-67.81,João Paulo Hotel
40,Kapaa,US,75.52,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Padang,ID,78.85,moderate rain,-0.9492,100.3543,Mercure Padang
43,Zaraza,VE,85.26,overcast clouds,9.3503,-65.3245,Hotel Zaraza
44,Na Klang,TH,81.32,light rain,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
45,Portobelo,PA,86.95,overcast clouds,9.55,-79.65,Scuba Portobelo
47,Laguna,US,75.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
52,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
53,Garowe,SO,89.38,overcast clouds,8.4054,48.4845,Curubo Hotel
54,Itupiranga,BR,86.32,few clouds,-5.1347,-49.3267,Hotel Panorama
58,Bac Lieu,VN,82.44,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
60,Pemangkat,ID,81.09,overcast clouds,1.1667,108.9667,Ramah Kost KITA
61,Bengkulu,ID,78.06,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Saint George,US,83.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
69,Wanning,CN,81.93,overcast clouds,18.8003,110.3967,Paradise Hotel
71,Camapua,BR,88.9,scattered clouds,-19.5314,-54.0439,Comercial Estrela
75,Dingle,PH,76.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Nikolskoye,RU,82.4,few clouds,59.7035,30.7861,Tourist House - Sablino
79,Tecoanapa,MX,77.72,overcast clouds,16.5167,-98.75,Hotel Manglares
80,Bereda,ES,76.41,clear sky,43.2686,-7.5406,Pazo de Verdes
81,Hisua,IN,78.98,overcast clouds,24.8333,85.4167,Mhavir sthan lower bazaar Hisua
82,Georgetown,MY,82.35,moderate rain,5.4112,100.3354,Cititel Penang
83,Sorong,ID,81.16,light rain,-0.8833,131.25,waigo splash hotel
85,Puerto Ayacucho,VE,78.28,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
86,Bay Roberts,CA,77.65,clear sky,47.5999,-53.2648,Stonewall Inn
88,Jamestown,US,77.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
89,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
91,Nabire,ID,75.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
92,Sao Filipe,CV,77.86,clear sky,14.8961,-24.4956,Hotel Xaguate
96,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
97,Cravo Norte,CO,84.24,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
98,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
99,Lasem,ID,78.73,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
100,San Patricio,US,89.02,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
113,Saint Anthony,US,79.9,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
114,Calabozo,VE,82.35,broken clouds,8.9242,-67.4293,Hotel Giardini
115,Kudahuvadhoo,MV,83.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
117,San Carlos,VE,83.05,broken clouds,9.6612,-68.5827,Hotel Paternopoli
119,Varzea Da Palma,BR,85.73,clear sky,-17.5981,-44.7308,Casa Fernandes
122,Seydi,TM,88.66,clear sky,39.4816,62.9137,Seydi oteli
140,Victoria,HK,82.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
141,Kindu,CD,86.76,broken clouds,-2.95,25.95,Résidence Okanda
158,Tual,ID,80.76,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
167,Monticello,US,80.64,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
168,Huainan,CN,75.54,light rain,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
169,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
171,Cabo San Lucas,MX,86.81,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
173,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
175,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,Sulthan Hotel International
176,Parksville,CA,75.96,broken clouds,49.3163,-124.3195,Oceanside Village Resort Parksville
181,Bensonville,LR,81.95,moderate rain,6.4461,-10.6125,Moinga
187,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
189,Riberalta,BO,84.4,scattered clouds,-10.9833,-66.1,Hotel Colonial
193,Bhabua,IN,79.29,very heavy rain,25.05,83.6167,Kohinoor Hotel
197,Grand-Santi,GF,87.82,clear sky,4.25,-54.3833,Hotel La Villa Couacou
198,Orodara,BF,79.18,overcast clouds,10.9492,-4.9342,Bkf Orodara
199,Oranjestad,AW,87.75,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
200,Guanica,PR,88.5,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
204,Muros,ES,85.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
211,Torbay,CA,76.87,clear sky,47.6666,-52.7314,Gallows Cove
212,Kerema,PG,77.23,overcast clouds,-7.9631,145.7785,Frena Lodge
214,Mayskiy,RU,89.44,scattered clouds,47.6931,40.1025,Dio Lakrua
216,Tibati,CM,81.28,light rain,6.4667,12.6333,Tibati Hotel
218,Faanui,PF,80.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
219,Corner Brook,CA,75.36,clear sky,48.9667,-57.9484,Glynmill Inn
221,Ambulu,ID,75.85,light rain,-8.345,113.6058,Hotel Ambulu Jember
224,Menomonie,US,77.4,clear sky,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
225,Hami,CN,84.22,overcast clouds,42.8,93.45,Laoyutang Resort
228,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
231,Palauig,PH,80.87,overcast clouds,15.435,119.9045,Myhousebythesea
236,Jambi,ID,76.6,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
238,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
241,Bontang,ID,76.84,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
242,Zhuhai,CN,83.98,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
245,Sao Felix Do Xingu,BR,88.97,few clouds,-6.6447,-51.995,Rio Xingu Camping
248,Igboho,NG,86.02,overcast clouds,8.8333,3.75,More Hotet LTD
250,Nha Trang,VN,84.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
253,Tamandare,BR,79.38,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
255,Linhares,BR,80.69,few clouds,-19.3911,-40.0722,Hotel Conceição
259,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
264,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
270,Alirajpur,IN,78.71,broken clouds,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
271,Belmonte,BR,80.6,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
273,Upata,VE,83.19,few clouds,8.0086,-62.3989,Posada Villa Nela
276,Erie,US,81.19,overcast clouds,42.7667,-78.6664,Hampton Inn East Aurora
277,Shangrao,CN,77.27,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
278,Votkinsk,RU,82.78,overcast clouds,57.0486,53.9872,Tsentralniy Hotel
279,Celestun,MX,83.46,few clouds,20.8667,-90.4,Posada Lilia
282,Mitsamiouli,KM,77.22,clear sky,-11.3847,43.2844,Foyer ADM
284,Kupang,ID,78.15,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
286,Nakhon Sawan,TH,84.7,overcast clouds,15.7,100.0833,The Paradiso JK Design Hotel Nakhon Sawan.
287,Kieta,PG,78.24,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
289,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
293,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
294,Sabang,ID,83.21,overcast clouds,5.8933,95.3214,Hotel Citra
296,Siwan,IN,87.57,moderate rain,26.2167,84.3667,Hotel Manish
297,Kavieng,PG,82.13,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
303,Bocana De Paiwas,NI,80.71,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
311,Eagle Pass,US,89.28,overcast clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
312,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
313,Mayo,US,77.22,clear sky,38.8876,-76.5119,Resorts Resource Group International
318,Tucumcari,US,81.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
319,Alugan,PH,81.21,overcast clouds,12.2188,125.4808,JM Lodge
320,Tarnogskiy Gorodok,RU,80.56,broken clouds,60.4997,43.5761,Hotel Rus
323,Danilov,RU,85.8,scattered clouds,58.1908,40.1717,Sot'.
325,Mikhaylovsk,RU,84.58,clear sky,45.1283,42.0256,Max Augustine hotel
328,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
329,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
330,Marsh Harbour,BS,82.17,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
333,Nouakchott,MR,87.73,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
334,Kaberamaido,UG,78.87,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
339,Dong Xoai,VN,75.78,broken clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
340,Hinesville,US,82.58,clear sky,31.8469,-81.5959,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
342,Monroe,US,80.33,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
346,Kirakira,SB,78.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
347,Lalmohan,BD,82.76,few clouds,22.3384,90.7419,Sundorbon courier service
349,Nyaunglebin,MM,75.27,overcast clouds,17.95,96.7333,Royal Motel
359,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
368,Pitsunda,GE,77.18,few clouds,43.1592,40.3378,Hotel FREEDOM
371,Harper,LR,75.0,heavy intensity rain,4.375,-7.7169,Screensaver
373,Pombas,CV,76.78,scattered clouds,17.1503,-25.0201,POUSADA O RECANTO
374,Kalabo,ZM,82.26,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
382,Korla,CN,78.6,few clouds,41.7597,86.1469,Gulisitan Hotel
383,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Relax Inn Hotel
384,Broome,US,76.06,clear sky,42.2506,-75.833,Chenango Valley State Park
390,Owando,CG,89.26,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
392,Tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
396,Karak,JO,86.72,clear sky,31.1667,35.75,Cairwan Hotel
399,Freeport,US,77.97,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
401,Asau,RO,85.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
404,Perpignan,FR,87.01,clear sky,42.75,2.75,Le moulin a huile de l'agly
409,Chokwe,MZ,75.45,clear sky,-24.5333,32.9833,Complexo Sonho Real
410,Labuan,MY,80.96,moderate rain,5.2767,115.2417,Tiara Labuan Hotel
412,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
414,Kalemie,CD,77.85,few clouds,-5.9475,29.1947,Mahobilali
423,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
428,Pauini,BR,89.46,clear sky,-7.7136,-66.9764,Casa do Kiwliks
429,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
431,Dabakala,CI,83.46,moderate rain,8.3667,-4.4333,Hôtel Campement
432,Hamina,FI,78.08,light rain,60.5697,27.1979,SpaHotel Hamina
434,Samarai,PG,78.31,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
436,Yinchuan,CN,84.38,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
439,Terme,TR,75.13,overcast clouds,41.2092,36.9739,OTEL GÜVEN TERME
441,Yining,CN,76.93,overcast clouds,29.0361,114.5636,Xiushui Hotel
442,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
443,Porto-Vecchio,FR,85.66,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
450,Springdale,US,86.29,broken clouds,36.1867,-94.1288,Springdale Inn
452,Bonthe,SL,82.81,light rain,7.5264,-12.505,Bonthe Holiday Village
456,Coahuayana,MX,81.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
459,Hobyo,SO,78.94,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
462,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
463,Basse,DE,76.14,clear sky,52.5518,9.5069,Biogut Evensen
466,Itarema,BR,87.31,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
468,Kismayo,SO,78.1,overcast clouds,-0.3582,42.5454,Agan-Hotel
470,Pak Phanang,TH,80.94,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
471,Pyinmana,MM,76.17,heavy intensity rain,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
472,Esmeralda,CU,85.24,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
474,Savonlinna,FI,78.85,few clouds,61.8699,28.88,Spahotel Casino
475,Ochamchira,GE,76.05,broken clouds,42.7121,41.4721,Resort on Papaskiri 76
477,Vila Do Maio,CV,83.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
478,Papagaios,BR,82.4,clear sky,-19.4492,-44.7478,Hotel Mac Palace
479,Lyubashivka,UA,87.03,overcast clouds,47.8372,30.2598,Hotelʹ
480,Okmulgee,US,88.88,scattered clouds,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
482,Gombong,ID,78.1,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
483,Wenling,CN,78.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
484,Jiaozuo,CN,79.48,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
486,La Asuncion,VE,82.13,broken clouds,11.0333,-63.8628,Colinas de Matasiete
496,Guilin,CN,78.91,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
499,Kavaratti,IN,82.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
501,Nang Rong,TH,81.14,light rain,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
505,Brigantine,US,77.29,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
507,Palimbang,PH,77.76,few clouds,6.2106,124.1894,Felmar Beach resort
509,Bone,DE,77.29,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
510,Lincoln,US,78.53,mist,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
513,Puerto Carreno,CO,76.06,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
514,Nouna,BF,88.47,overcast clouds,12.7333,-3.8667,Sabunyuma So
515,Uglovka,RU,85.08,few clouds,58.2392,33.5108,Inn Dubrava
517,Lazaro Cardenas,MX,79.25,overcast clouds,17.9583,-102.2,quinta antigua
519,Soyo,AO,80.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
522,Jacqueville,CI,84.11,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
525,Nishihara,JP,80.26,light rain,26.1842,127.7558,Minshuku Agaihama
526,Nisia Floresta,BR,86.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
528,Santona,ES,79.81,clear sky,43.4439,-3.4576,Playamar
530,Barra,BR,83.68,clear sky,-11.0894,-43.1417,Motel Albatroz
531,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
534,Marsa Matruh,EG,81.68,clear sky,31.3525,27.2453,Beau Site
538,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
539,Iracoubo,GF,84.24,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
541,Takoradi,GH,76.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
545,Bela,IN,82.42,light rain,25.9333,81.9833,Raj Bhawan
549,Macau,MO,84.0,light rain,22.2006,113.5461,Grand Emperor Hotel
550,Tambau,BR,83.46,few clouds,-21.705,-47.2744,Estalagem do Sobreira
552,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
555,Daokou,CN,78.37,light rain,35.5639,114.5058,Shangri-La Hotel
556,Prokhorovka,RU,89.17,few clouds,51.0374,36.7325,Prokhorovka Field Hotel Complex
559,Grants Pass,US,77.86,clear sky,42.43899999999999,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
560,Eirunepe,BR,82.0,overcast clouds,-6.6603,-69.8736,Atrás de você
563,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
564,Fort Dodge,US,77.4,broken clouds,42.4975,-94.16799999999999,"Country Inn & Suites by Radisson, Fort Dodge, IA"
565,Ternate,ID,80.69,clear sky,0.8,127.4,Grand Dafam Bela Ternate
566,Indiaroba,BR,80.22,scattered clouds,-11.5192,-37.5117,Pura Vida Bahia
568,Roma,US,77.95,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
570,Peniche,PT,89.55,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
572,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
573,Posse,BR,84.02,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
574,Maumere,ID,78.91,few clouds,-8.6199,122.2111,Sylvia Hotel
576,Russell,US,80.91,broken clouds,32.3502,-85.1999,Macs
577,Kimbe,PG,75.7,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
578,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
580,Mbandaka,CD,84.72,broken clouds,0.0487,18.2603,Guest House Epervier
584,Bodden Town,KY,87.93,scattered clouds,19.2833,-81.25,Will T Place
585,Port Moresby,PG,75.51,overcast clouds,-9.4431,147.1797,Lamana Hotel
588,Namatanai,PG,79.32,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
590,Gat,IL,89.4,clear sky,31.61,34.7642,OlusHome
591,Tevaitoa,PF,80.33,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
594,Cervo,ES,76.19,clear sky,43.6702,-7.4101,Hotel Spa Galatea
595,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
603,Fuyang,CN,75.79,overcast clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
607,Buffalo,US,82.09,broken clouds,42.8865,-78.8784,Embassy Suites by Hilton Buffalo
608,Acajutla,SV,84.79,scattered clouds,13.5928,-89.8275,asi es
610,Bandarbeyla,SO,78.37,broken clouds,9.4942,50.8122,JABIR HOTEL
616,Nueva Loja,EC,80.62,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
629,Mogadishu,SO,77.68,broken clouds,2.0371,45.3438,Hotel Juba
633,Ostrovskoye,RU,85.5,broken clouds,57.8057,42.2433,Country house Sosnoviy Bor Ostrovtsy
634,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Raj's villa
636,Shenzhen,CN,82.27,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
639,Luganville,VU,75.15,broken clouds,-15.5333,167.1667,The Espiritu Hotel
640,Carballo,ES,85.42,clear sky,43.213,-8.691,Pazo do Souto
648,Jasper,US,86.45,broken clouds,37.2001,-94.3502,Guest House Motel
650,Sumenep,ID,80.35,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
651,Bud,US,76.89,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
654,Wadi Maliz,TN,89.26,broken clouds,36.4681,8.5495,HOPITAL
655,Sinnamary,GF,83.41,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
660,Douglas,US,78.55,mist,41.3,-96.167,Hilton Garden Inn Omaha West
663,Oshogbo,NG,85.89,light rain,7.7667,4.5667,Regina Suites Osogbo
664,Bouar,CF,80.85,overcast clouds,5.934,15.595999999999998,Motel de l'UNITE
670,Guarapari,BR,80.49,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
671,Manicore,BR,78.75,clear sky,-5.8092,-61.3003,Hotel Durval
672,Domoni,KM,75.78,clear sky,-12.2569,44.5319,Al Djadid
676,Tagusao,PH,80.42,overcast clouds,9.1924,117.8141,Toledo
682,Montale,IT,86.68,clear sky,43.9356,11.0171,Albergo Il Cochino
683,Vanimo,PG,77.38,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
686,Sevierville,US,81.79,clear sky,35.8681,-83.5618,The Lodge at Five Oaks
687,Rameswaram,IN,83.35,broken clouds,9.2833,79.3,Daiwik Hotels Rameswaram
688,Nago,JP,81.03,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
