City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Rikitea,PF,2021-06-25 15:23:06,-23.1203,-134.9692,Clouds,few clouds,74.03,77,14,3.6,0,0
1,Bluff,NZ,2021-06-25 15:23:07,-46.6,168.3333,Clouds,overcast clouds,48.79,91,90,6.33,0,0
2,Albany,US,2021-06-25 15:22:40,42.6001,-73.9662,Clouds,overcast clouds,75.61,54,100,4.47,0,0
3,Arman,RU,2021-06-25 15:23:07,59.7,150.1667,Clouds,scattered clouds,48.45,88,45,2.17,0,0
4,Mglin,RU,2021-06-25 15:14:51,53.0591,32.8475,Clear,clear sky,87.78,61,9,4.52,0,0
5,Los Llanos De Aridane,ES,2021-06-25 15:23:08,28.6585,-17.9182,Clouds,broken clouds,69.12,70,75,9.22,0,0
6,Nizwa,OM,2021-06-25 15:23:08,22.9333,57.5333,Clouds,overcast clouds,99.79,17,95,4.74,0,0
7,Carnarvon,AU,2021-06-25 15:23:08,-24.8667,113.6333,Clouds,broken clouds,48.27,35,74,6.91,0,0
8,Saiha,IN,2021-06-25 15:14:11,22.4833,92.9667,Rain,heavy intensity rain,71.8,99,66,1.48,0,0
9,Kodiak,US,2021-06-25 15:23:09,57.79,-152.4072,Rain,light rain,49.51,76,1,18.41,0,0
10,Beringovskiy,RU,2021-06-25 15:23:09,63.05,179.3167,Clouds,scattered clouds,42.19,74,29,12.97,0,0
11,Barrow,US,2021-06-25 15:23:10,71.2906,-156.7887,Mist,mist,33.82,80,90,18.41,0,0
12,Chokurdakh,RU,2021-06-25 15:23:10,70.6333,147.9167,Clear,clear sky,65.93,43,4,10.31,0,0
13,Punta Arenas,CL,2021-06-25 15:23:10,-53.15,-70.9167,Clouds,overcast clouds,41.76,77,98,23.82,0,0
14,Saskylakh,RU,2021-06-25 15:23:11,71.9167,114.0833,Rain,light rain,56.12,65,94,11.68,0,0
15,Busselton,AU,2021-06-25 15:23:11,-33.65,115.3333,Clouds,scattered clouds,53.04,79,50,9.64,0,0
16,Ushuaia,AR,2021-06-25 15:21:34,-54.8,-68.3,Drizzle,drizzle,40.66,100,90,23.02,0,0
17,Lebu,CL,2021-06-25 15:23:11,-37.6167,-73.65,Clouds,broken clouds,51.48,70,84,10.65,0,0
18,Port Alfred,ZA,2021-06-25 15:23:12,-33.5906,26.891,Clear,clear sky,67.39,61,9,11.03,0,0
19,Mataura,NZ,2021-06-25 15:23:12,-46.1927,168.8643,Clouds,overcast clouds,48.47,98,87,0.92,0,0
20,Cayenne,GF,2021-06-25 15:23:12,4.9333,-52.3333,Mist,mist,86.09,74,75,5.99,0,0
21,Dikson,RU,2021-06-25 15:23:13,73.5069,80.5464,Clouds,broken clouds,30.94,94,74,12.62,0,0
22,Acapulco,MX,2021-06-25 15:23:13,16.8634,-99.8901,Clouds,overcast clouds,75.02,94,90,11.5,0,0
23,Najran,SA,2021-06-25 15:23:13,17.4924,44.1277,Clouds,overcast clouds,95.65,9,100,19.06,0,0
24,Vaini,TO,2021-06-25 15:23:14,-21.2,-175.2,Clouds,scattered clouds,69.96,83,40,14.97,0,0
25,Bredasdorp,ZA,2021-06-25 15:23:14,-34.5322,20.0403,Rain,light rain,60.12,67,15,18.41,0,0
26,Lorengau,PG,2021-06-25 15:23:14,-2.0226,147.2712,Clouds,overcast clouds,80.51,79,100,6.02,0,0
27,Cham,DE,2021-06-25 15:23:15,49.245,12.6825,Rain,light rain,70.12,87,100,4.23,0,0
28,Puerto Ayora,EC,2021-06-25 15:23:15,-0.7393,-90.3518,Clouds,overcast clouds,75.16,91,92,5.01,0,0
29,Susanville,US,2021-06-25 15:18:48,40.4163,-120.653,Clouds,few clouds,66.81,61,16,1.95,0,0
30,Quthing,LS,2021-06-25 15:23:16,-30.4,27.7003,Clouds,few clouds,58.12,36,12,13.2,0,0
31,Hamilton,US,2021-06-25 15:14:16,39.1834,-84.5333,Clouds,overcast clouds,76.24,80,90,3.0,0,0
32,Atuona,PF,2021-06-25 15:23:16,-9.8,-139.0333,Rain,light rain,78.69,77,11,15.73,0,0
33,Pisco,PE,2021-06-25 15:23:16,-13.7,-76.2167,Clouds,overcast clouds,64.45,72,90,4.61,0,0
34,New Norfolk,AU,2021-06-25 15:23:17,-42.7826,147.0587,Clouds,overcast clouds,45.9,85,100,0.65,0,0
35,Hasaki,JP,2021-06-25 15:13:58,35.7333,140.8333,Clouds,overcast clouds,68.4,81,100,2.91,0,0
36,Hithadhoo,MV,2021-06-25 15:23:17,-0.6,73.0833,Clouds,overcast clouds,83.41,67,99,6.76,0,0
37,Rio Branco,BR,2021-06-25 15:23:18,-9.9747,-67.81,Clouds,few clouds,86.61,62,20,5.75,0,0
38,Aklavik,CA,2021-06-25 15:23:18,68.2191,-135.0107,Clouds,broken clouds,73.4,53,75,4.61,0,0
39,Leh,IN,2021-06-25 15:23:18,34.1667,77.5833,Clouds,overcast clouds,57.87,31,87,4.12,0,0
40,Kapaa,US,2021-06-25 15:23:19,22.0752,-159.319,Clouds,overcast clouds,75.52,84,90,1.01,0,0
41,Naujamiestis,LT,2021-06-25 15:23:19,55.6869,24.1523,Clouds,scattered clouds,80.96,78,45,3.69,0,0
42,Padang,ID,2021-06-25 15:23:19,-0.9492,100.3543,Rain,moderate rain,78.85,88,98,4.25,0,0
43,Zaraza,VE,2021-06-25 15:23:20,9.3503,-65.3245,Clouds,overcast clouds,85.26,61,97,4.72,0,0
44,Na Klang,TH,2021-06-25 15:23:20,17.3072,102.1889,Rain,light rain,81.32,82,100,1.05,0,0
45,Portobelo,PA,2021-06-25 15:23:20,9.55,-79.65,Clouds,overcast clouds,86.95,73,100,6.85,0,0
